Price_Millions,Beds_Num,Area_SqFt,Location_Encoded
119.0,6.0,4500.0,61
150.0,5.0,4500.0,61
170.0,7.0,9000.0,61
117.0,6.0,4500.0,61
50.0,4.0,2250.0,61
35.0,5.0,1350.0,240
98.5,7.0,4500.0,329
28.0,5.0,1800.0,397
23.0,3.0,1125.0,294
29.2,5.0,1350.0,391
129.0,5.0,4500.0,61
98.5,6.0,4500.0,61
22.0,3.0,900.0,240
40.0,5.0,1350.0,240
24.5,5.0,900.0,240
90.0,7.0,5400.0,329
25.0,4.0,1125.0,329
24.5,5.0,900.0,240
77.5,5.0,3150.0,197
77.0,4.0,2250.0,158
36.0,9.0,2250.0,344
128.0,6.0,4500.0,61
138.0,6.0,4500.0,61
155.0,5.0,4500.0,61
70.0,6.0,4500.0,61
140.0,9.0,4500.0,80
310.0,4.0,5400.0,140
140.0,8.0,4500.0,80
680.0,7.0,9000.0,135
50.0,4.0,2250.0,14
11.0,2.0,1125.0,298
145.0,5.0,4500.0,80
115.0,5.0,4500.0,61
47.5,6.0,2250.0,405
115.0,6.0,4500.0,61
28.0,4.0,1125.0,251
25.5,4.0,1125.0,329
89.5,6.0,4500.0,61
19.0,4.0,1125.0,294
42.5,7.0,2250.0,13
18.2,3.0,1125.0,291
145.0,6.0,4500.0,61
120.0,6.0,4500.0,61
95.0,6.0,4500.0,61
95.0,6.0,4500.0,61
39.0,4.0,900.0,170
560.0,5.0,9450.0,137
22.5,3.0,1125.0,28
100.0,5.0,4500.0,17
129.0,6.0,4500.0,61
119.0,6.0,4500.0,61
500.0,8.0,9000.0,143
150.0,11.0,4500.0,149
29.0,6.0,1800.0,35
45.0,4.0,1260.0,163
42.0,4.0,990.0000000000001,170
72.5,5.0,1800.0,171
46.0,5.0,1350.0,242
134.5,5.0,4500.0,61
95.0,6.0,4500.0,61
33.0,5.0,1800.0,13
38.0,5.0,2250.0,13
21.8,4.0,1125.0,13
135.0,6.0,4500.0,174
56.0,4.0,1575.0,169
26.5,3.0,1125.0,28
97.0,5.0,4500.0,17
24.0,3.0,1125.0,27
24.0,3.0,1125.0,28
48.0,5.0,2250.0,28
20.0,4.0,1125.0,146
62.5,5.0,2250.0,61
116.0,6.0,2790.0,257
58.0,8.0,2475.0,150
95.0,6.0,4500.0,61
120.0,6.0,4500.0,61
127.5,6.0,4500.0,61
115.0,6.0,4500.0,61
39.0,5.0,2250.0,291
87.5,6.0,3150.0,172
165.0,7.0,4500.0,169
87.5,7.0,2250.0,169
21.0,7.0,1350.0,211
108.5,6.0,4500.0,61
117.0,6.0,4500.0,61
80.0,6.0,5400.0,70
18.5,3.0,1125.0,387
47.5,7.0,4500.0,0
28.0,6.0,1800.0,148
34.5,5.0,2092.5,45
950.0,8.0,9900.0,133
500.0,6.0,5850.0,135
260.0,7.0,5850.0,124
150.0,6.0,21600.0,132
360.0,4.0,9000.0,143
160.0,6.0,4500.0,122
250.0,7.0,5850.0,121
135.0,10.0,18000.0,135
180.0,8.0,3150.0,257
119.0,6.0,4500.0,61
320.0,5.0,4500.0,135
65.0,8.0,4500.0,222
450.0,6.0,9000.0,135
39.0,5.0,2250.0,344
28.5,3.0,1125.0,28
55.0,4.0,1575.0,171
200.0,9.0,4500.0,95
15.5,3.0,1125.0,237
32.5,5.0,1800.0,22
140.0,6.0,4500.0,61
47.0,5.0,4500.0,391
25.0,4.0,1350.0,349
67.5,6.0,2700.0,344
28.0,4.0,1350.0,391
42.5,4.0,900.0,53
140.0,8.0,18000.0,135
200.0,6.0,4500.0,124
900.0,6.0,18000.0,136
800.0,4.0,11250.0,138
265.0,9.0,7200.0,122
210.0,6.0,6300.0,118
230.0,6.0,4500.0,141
250.0,6.0,24300.0,133
290.0,6.0,5850.0,135
260.0,5.0,5850.0,135
125.0,8.0,3195.0,258
17.0,5.0,1800.0,27
145.0,6.0,3195.0,257
67.5,6.0,1800.0,163
170.0,6.0,4500.0,163
110.0,6.0,3150.0,169
85.0,7.0,2250.0,169
43.5,4.0,990.0000000000001,163
149.9,6.0,4500.0,80
115.0,5.0,4500.0,61
55.0,6.0,2700.0,347
250.0,9.0,4500.0,57
28.5,4.0,1350.0,23
120.0,6.0,4500.0,78
107.5,6.0,4500.0,84
95.0,4.0,2092.5,124
180.0,6.0,5850.0,122
380.0,6.0,9000.0,120
280.0,9.0,5850.0,121
280.0,9.0,5850.0,121
300.0,6.0,4500.0,136
300.0,6.0,9000.0,120
350.0,6.0,8100.0,124
117.5,6.0,2790.0,257
41.0,6.0,2250.0,390
40.0,6.0,2250.0,390
116.5,6.0,4500.0,61
32.5,4.0,900.0,170
38.5,4.0,900.0,169
55.0,5.0,1125.0,163
44.0,6.0,2250.0,402
53.5,6.0,3150.0,268
22.5,3.0,2250.0,35
144.8,5.0,4500.0,61
97.5,6.0,4500.0,61
260.0,6.0,9000.0,82
220.0,6.0,7650.0,76
42.5,4.0,2025.0,295
160.0,5.0,7650.0,75
72.5,5.0,3375.0,75
135.0,4.0,3600.0,123
37.0,4.0,1800.0,48
93.0,5.0,4500.0,34
89.0,5.0,4500.0,34
109.0,6.0,4500.0,61
78.0,5.0,4500.0,61
120.0,6.0,4500.0,61
69.0,4.0,1575.0,169
50.0,5.0,2250.0,26
78.0,6.0,1800.0,57
24.0,3.0,1125.0,23
600.0,6.0,9000.0,133
140.0,6.0,3195.0,258
880.0,7.0,8550.0,130
880.0,7.0,8550.0,135
115.0,3.0,3195.0,255
52.0,5.0,4500.0,387
140.0,6.0,4050.0,158
115.0,5.0,4500.0,61
350.0,6.0,6300.0,130
75.0,5.0,4500.0,61
260.0,5.0,4500.0,72
81.0,6.0,5400.0,60
46.0,8.0,2250.0,127
170.0,6.0,3150.0,169
67.5,5.0,1575.0,169
21.0,3.0,1125.0,28
23.5,3.0,1125.0,23
425.0,6.0,5850.0,135
67.5,4.0,1575.0,169
65.0,4.0,1575.0,169
87.5,6.0,1575.0,169
21.5,4.0,1125.0,24
280.0,10.0,9000.0,116
210.0,6.0,5850.0,119
225.0,5.0,4500.0,140
260.0,6.0,5850.0,140
14.5,3.0,1800.0,334
15.0,3.0,1800.0,282
50.0,6.0,2250.0,289
19.5,5.0,1125.0,384
32.0,4.0,1575.0,268
23.5,3.0,1125.0,27
22.0,4.0,1125.0,28
787.5,6.0,16200.0,140
67.5,7.0,4500.0,387
35.0,5.0,1350.0,41
36.0,5.0,1800.0,45
240.0,6.0,10800.0,35
890.0,4.0,16200.0,140
370.0,5.0,4387.5,130
395.0,8.0,5850.0,135
278.0,6.0,4005.0,130
225.0,4.0,4950.0,140
210.0,5.0,5400.0,190
31.0,6.0,1575.0,218
169.0,6.0,18000.0,35
70.0,5.0,4500.0,403
39.0,5.0,2250.0,404
300.0,10.0,9000.0,140
113.5,5.0,4500.0,83
25.0,3.0,1125.0,27
21.0,2.0,1575.0,268
35.0,4.0,1575.0,268
23.0,4.0,1125.0,146
35.0,6.0,1800.0,13
38.5,4.0,2452.5,126
23.0,4.0,1125.0,28
23.0,3.0,1125.0,15
42.0,5.0,3150.0,35
290.0,7.0,4500.0,140
240.0,4.0,5400.0,130
45.0,4.0,1260.0,163
44.0,3.0,1260.0,165
48.5,5.0,2250.0,14
24.5,3.0,1125.0,23
105.0,5.0,4500.0,28
42.5,5.0,1800.0,247
59.5,7.0,4500.0,405
94.5,6.0,4500.0,61
127.5,5.0,4500.0,61
99.5,6.0,4500.0,61
180.0,5.0,4500.0,116
46.0,5.0,2250.0,402
45.0,5.0,2250.0,402
40.0,5.0,2250.0,26
52.5,7.0,2250.0,14
18.5,7.0,1575.0,342
15.0,3.0,1800.0,282
65.0,5.0,2250.0,61
38.0,5.0,1575.0,183
35.0,6.0,2250.0,390
40.0,4.0,2272.5,404
70.0,8.0,4500.0,403
42.5,4.0,2250.0,295
143.5,6.0,3195.0,158
30.5,5.0,1350.0,390
29.5,5.0,1350.0,390
27.0,3.0,1125.0,23
67.5,5.0,1800.0,169
700.0,7.0,7650.0,106
450.0,6.0,5850.0,136
275.0,5.0,4500.0,136
570.0,6.0,9450.0,106
130.0,5.0,4500.0,61
119.0,6.0,4500.0,61
95.0,8.0,4500.0,61
38.0,5.0,1800.0,179
85.0,10.0,3195.0,181
130.0,5.0,4500.0,61
92.5,6.0,4500.0,61
49.5,5.0,2250.0,19
38.0,5.0,2092.5,58
29.0,6.0,1800.0,128
160.0,10.0,21150.0,271
45.0,7.0,2790.0,382
22.5,5.0,1125.0,247
118.5,6.0,4500.0,61
149.5,5.0,4500.0,61
60.0,7.0,4500.0,386
40.0,6.0,3375.0,35
37.0,3.0,4500.0,35
36.0,5.0,2250.0,13
21.0,4.0,1125.0,146
86.0,6.0,4500.0,61
105.0,6.0,4500.0,61
85.0,6.0,2250.0,169
107.0,6.0,3150.0,169
63.0,4.0,1575.0,169
70.0,4.0,1575.0,169
88.5,6.0,2250.0,169
87.5,6.0,2250.0,169
200.0,6.0,5400.0,257
127.0,5.0,4500.0,61
27.5,3.0,1125.0,28
25.0,7.0,1575.0,253
127.5,5.0,4500.0,61
55.0,3.0,4500.0,324
41.0,4.0,900.0,54
240.0,9.0,4500.0,53
30.0,3.0,810.0,166
95.0,4.0,1800.0,55
107.0,5.0,4500.0,61
104.9,6.0,4500.0,61
33.0,5.0,1800.0,295
53.0,6.0,2250.0,295
45.0,6.0,2475.0,126
62.5,5.0,1800.0,169
295.0,8.0,5850.0,139
85.0,6.0,2250.0,169
62.5,4.0,1575.0,169
27.0,5.0,1507.5,277
294.5,5.0,4500.0,138
73.5,5.0,1800.0,169
185.0,8.0,46800.0,132
108.0,6.0,3195.0,169
114.5,6.0,4500.0,61
45.0,7.0,1800.0,178
45.0,7.0,1800.0,178
43.5,5.0,2250.0,402
29.0,4.0,1350.0,391
64.5,7.0,2700.0,45
97.5,6.0,4500.0,79
21.5,5.0,1125.0,151
53.5,5.0,1125.0,165
63.0,5.0,1800.0,166
167.5,6.0,4500.0,164
850.0,7.0,17100.0,135
55.0,5.0,2700.0,75
62.5,7.0,1575.0,169
120.0,6.0,3150.0,169
72.0,5.0,4500.0,290
155.0,9.0,3195.0,54
33.5,6.0,2250.0,390
35.0,4.0,1575.0,344
27.5,4.0,1350.0,277
34.0,4.0,1800.0,268
84.5,6.0,4500.0,76
120.0,5.0,4500.0,81
59.0,5.0,2250.0,84
250.0,7.0,9000.0,82
220.0,6.0,7650.0,86
49.0,6.0,2700.0,391
26.0,4.0,1260.0,247
30.0,5.0,1800.0,27
23.5,3.0,1125.0,27
44.0,5.0,2250.0,26
16.0,5.0,1125.0,35
30.0,5.0,1575.0,390
60.0,5.0,1575.0,200
15.0,4.0,1125.0,148
