Location,Price,Beds,Area
"Maheen Arcade, Bahria Enclave",1.44 Crore,1,3.9 Marla
"Diplomatic Enclave, Islamabad",5 Crore,2,6.7 Marla
"Goldcrest Views, DHA Defence Phase 2",1.85 Crore,3,5.1 Marla
"DHA Defence Phase 2, DHA Defence",1.02 Crore,2,5.3 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.5 Crore,3,5 Marla
"Pine City Housing Society, Pir Sohawa Road",8 Crore,2,4 Kanal
"Bani Gala, Islamabad",2.25 Crore,3,10 Marla
"F-11 Markaz, F-11",2.45 Crore,2,7.8 Marla
"The Centaurus, F-8",7.3 Crore,1,5.1 Marla
"Soan Garden - Block C, Soan Garden",1.95 Crore,4,5 Marla
"Bahria Enclave, Bahria Town",1.24 Crore,1,3.5 Marla
"F-7, Islamabad",1.1 Arab,1,4 Kanal
"Chatha Bakhtawar, Islamabad",1.3 Crore,4,5 Marla
"Mumtaz City, Islamabad",2.6 Crore,4,6.7 Marla
"Top City 1, Islamabad",1.8 Crore,1,4 Marla
"F-11, Islamabad",2.1 Crore,2,7.6 Marla
"Executive Heights, F-11",3.15 Crore,2,5.8 Marla
"G-11/2, G-11",4.3 Crore,4,4 Marla
"Bahria Enclave - Sector A, Bahria Enclave",57 Lakh,1,2.4 Marla
"Faisal Town - F-18, Islamabad",2.25 Crore,4,5 Marla
"CBR Town Phase 1, CBR Town",4.1 Crore,4,14 Marla
"Al-Ghurair Giga - Block 12, Al-Ghurair Giga",65 Lakh,1,2.7 Marla
"G-13, Islamabad",3.5 Crore,4,4 Marla
"Bani Gala, Islamabad",2.1 Crore,2,6.8 Marla
"Bahria Enclave, Bahria Town",2.35 Crore,3,5 Marla
"Defence Executive Apartments, DHA Defence Phase 2",2.05 Crore,3,9.1 Marla
"Al-Ghurair Giga, DHA Defence Phase 2",1.05 Crore,2,4.2 Marla
"Clock Tower, H-13",50.9 Lakh,1,1.7 Marla
"Clock Tower, H-13",1.23 Crore,2,4.2 Marla
"Clock Tower, H-13",59.8 Lakh,1,2 Marla
"Soan Garden, Islamabad",1.6 Crore,2,4.5 Marla
"Soan Garden - Block H, Soan Garden",85 Lakh,3,4.9 Marla
"G-15, Islamabad",4 Crore,4,8 Marla
"H-13, Islamabad",1.2 Crore,3,4 Marla
"Gulshan-e-Sehat 1, E-18",2.85 Crore,3,1 Kanal
"DHA Defence Phase 2, DHA Defence",1.02 Crore,2,5.3 Marla
"DHA Defence Phase 3, DHA Defence",1.02 Crore,2,5.3 Marla
"Lignum Tower, DHA Defence Phase 2",2.45 Crore,4,14.2 Marla
"F-11, Islamabad",3.9 Crore,3,11.6 Marla
"F-11, Islamabad",4 Crore,3,11.6 Marla
"Bahria Enclave - Sector A, Bahria Enclave",95 Lakh,1,4.8 Marla
